system,bench,threads,runtime,total_commits,total_query_commits,total_aborts,total_sys_aborts,user_aborts,internal_aborts,si_aborts,serial_aborts,rw_aborts,phantom_aborts,longquery_tried
ermia,tpcc++,1,40,170476,0,0,0,0,0,0,0,0,0,
ermia,tpcc++,12,40,944439,0,84567,84567,0,2689,13232,49671,0,18975,
ermia,tpcc++,18,40,1306767,0,119745,119745,0,3726,18766,70681,0,26572,
ermia,tpcc++,24,40,1261914,0,122602,122602,0,4002,19259,72995,283,26063,
ermia,tpcc++,6,40,510125,0,41889,41889,0,1317,6531,24884,0,9157,
ermia,tpcc_contention,1,40,970334,0,0,0,0,0,0,0,0,0,
ermia,tpcc_contention,12,40,7296577,0,2437107,2437107,0,175023,763081,1360100,26081,112822,
ermia,tpcc_contention,18,40,10171303,0,3541286,3541286,0,252021,1094843,1936084,97727,160611,
ermia,tpcc_contention,24,40,12509782,0,4499891,4499891,0,313964,1382380,2385733,220675,197139,
ermia,tpcc_contention,6,40,3898475,0,1183097,1183097,0,83986,366664,679743,490,52214,
ermia,tpcc_org,1,40,971364,0,0,0,0,0,0,0,0,0,
ermia,tpcc_org,12,40,9779431,0,3088,3088,0,0,483,2094,511,0,
ermia,tpcc_org,18,40,14001162,0,5781,5781,0,0,720,3291,1770,0,
ermia,tpcc_org,24,40,16873640,0,8378,8378,0,0,808,3944,3625,1,
ermia,tpcc_org,6,40,5190692,0,1298,1298,0,0,250,1016,31,1,
ermia,tpce10,1,40,6364,1633,2091,183,1908,0,0,0,0,1, 1633
ermia,tpce10,12,40,59718,16850,25850,5578,20272,3,1,1456,2383,46, 16986
ermia,tpce10,18,40,82493,23258,35819,7812,28007,8,0,2586,2808,125, 23524
ermia,tpce10,24,40,95516,27035,41549,9161,32388,8,0,3654,2692,169, 27341
ermia,tpce10,6,40,32319,9078,13944,3001,10943,1,0,429,1599,21, 9119
ermia,tpce20,1,40,2846,723,1002,89,913,0,0,0,0,0, 723
ermia,tpce20,12,40,29534,8382,12788,2867,9921,2,0,1087,850,33, 8452
ermia,tpce20,18,40,41290,11750,18015,4033,13982,2,0,1794,898,96, 11909
ermia,tpce20,24,40,50225,14282,21933,4927,17006,1,0,2378,899,163, 14484
ermia,tpce20,6,40,15719,4412,6840,1524,5316,3,0,340,664,17, 4437
ermia,tpce40,1,40,1374,349,482,46,436,0,0,0,0,0, 349
ermia,tpce40,12,40,14322,4100,6214,1421,4793,0,0,635,299,40, 4153
ermia,tpce40,18,40,19823,5695,8691,1994,6697,3,0,992,310,93, 5831
ermia,tpce40,24,40,23266,6652,10271,2366,7905,1,0,1187,349,133, 6804
ermia,tpce40,6,40,7612,2143,3368,768,2600,0,0,249,239,26, 2174
ermia,tpce5,1,40,12487,3213,3932,347,3585,0,0,0,0,1, 3213
ermia,tpce5,12,40,121438,34199,52064,11124,40940,9,1,1516,6233,71, 34345
ermia,tpce5,18,40,154683,43688,66514,14415,52099,7,1,2895,7285,127, 43952
ermia,tpce5,24,40,169869,48145,73517,15864,57653,10,1,3853,7331,162, 48489
ermia,tpce5,6,40,65550,18446,27906,6028,21878,4,1,448,3684,18, 18491
ermia,tpce_org,1,40,115899,0,36003,3132,32871,14,0,0,0,11,
ermia,tpce_org,12,40,1277144,0,531226,101016,430210,85,76,3198,67363,248,
ermia,tpce_org,18,40,1810987,0,760310,147885,612425,98,103,6169,101776,346,
ermia,tpce_org,24,40,2396041,0,1013087,201290,811797,138,232,8854,142621,526,
ermia,tpce_org,6,40,655964,0,265392,46843,218549,26,10,1003,28761,96,
